Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,Feature32,Feature33,Feature34,Feature35,Feature36,Feature37,Feature38,Feature39,Feature40,Feature41,Feature42,Feature43,Feature44,Feature45,Feature46,Feature47,Feature48,Feature49,Feature50,Target
0.11,-0.326,-0.358,-0.969,-0.979,-0.292,0.684,-0.746,0.543,1.35,0.139,-1.318,-1.265,-2.572,-0.314,-2.114,-1.067,-1.786,0.18,0.406,0.19,-0.277,-0.393,1.616,0.595,1.534,-0.927,0.789,-1.338,-1.162,-0.571,-0.224,-1.36,-0.47,-0.621,-0.174,0.095,-0.915,-4.053,0.067,-2.434,1.032,0.742,-0.742,1.288,0.419,0.779,-0.349,-0.491,-0.091,-0.499
0.79,0.291,1.732,1.014,0.004,-0.653,0.511,-3.549,0.264,-0.045,-0.313,-0.622,1.24,1.028,0.649,0.473,-0.268,-0.095,-0.465,-0.723,-0.012,-0.169,-0.237,0.887,-0.421,-1.042,-0.531,-0.363,1.028,-0.366,-0.573,-1.225,-0.787,0.839,0.133,-1.268,0.799,0.005,0.304,0.506,1.276,-0.83,1.181,-0.253,-0.602,0.505,-0.009,-0.639,-0.553,-1.159,0.786
-0.747,-1.25,-1.27,-1.724,-0.442,0.541,-0.294,-0.901,-0.568,-2.41,-0.869,-0.86,-1.752,-2.317,-1.641,0.473,-1.585,-0.994,-0.873,-1.233,1.297,0.21,0.722,1.209,-0.013,-0.065,-1.38,-0.608,-1.953,-1.162,-0.575,2.12,-2.225,0.203,-0.817,0.36,-0.052,-1.089,-0.873,-0.131,2.344,-0.668,-0.243,-1.769,-0.671,-0.843,0.16,0.364,-1.097,0.996,-0.98
-0.829,-1.499,-0.823,0.687,-0.312,0.529,-0.571,-0.35,-0.926,1.943,-0.173,-0.622,-0.956,-0.201,-0.144,-1.252,1.401,-0.162,-0.431,-0.296,0.303,-1.552,-0.699,0.266,-0.525,0.675,1.098,1.551,-0.009,0.165,-0.427,-1.667,-0.991,0.523,0.872,1.229,-1.317,-0.492,-0.189,-0.195,0.427,1.631,-0.556,0.251,-0.273,-2.047,-2.54,1.671,1.91,2.294,-1.64
0.616,0.377,1.572,-0.532,-0.514,0.232,0.126,-0.102,-0.465,-0.589,-0.018,0.002,0.818,0.741,0.787,0.042,-0.333,0.487,-0.25,-1.277,-0.485,-0.523,0.752,-1.318,-0.276,-0.872,-0.1,-1.587,1.062,0.696,1.521,1.119,0.173,1.231,0.209,-0.187,1.508,1.297,-0.58,0.386,-0.458,-1.351,0.774,0.437,-0.233,-0.284,0.005,-0.547,-0.361,-0.202,-0.18
0.646,0.788,1.423,0.477,1.08,0.512,2.028,1.206,0.014,-0.671,-0.18,-0.204,1.111,1.055,0.964,0.042,-0.069,-0.052,-0.439,0.277,0.601,1.499,1.204,-0.188,-1.193,0.443,-0.591,-1.4,1.289,0.696,0.078,0.648,1.02,0.385,0.239,-0.205,1.226,0.967,0.097,0.521,0.693,-1.355,0.64,0.151,-0.564,-0.04,-0.913,-0.349,-0.27,-1.023,0.858
-0.986,-1.238,-1.142,0.234,-0.361,-0.824,-0.111,-1.704,0.312,-0.702,-0.628,-0.443,-0.799,-0.398,-1.222,0.042,-0.308,0.367,-0.422,-0.496,-0.181,0.691,-0.774,-0.006,-1.055,-1.093,-1.081,-0.823,-0.524,0.165,0.436,-2.046,-1.514,-0.161,0.314,1.053,1.079,-0.228,0.735,-0.089,-0.458,-0.511,1.127,-0.854,1.028,0.419,0.16,1.314,0.104,1.485,-1.058
0.425,0.053,1.285,-0.913,-1.036,-0.04,-0.367,0.691,0.78,-0.871,-0.271,-0.6,1.126,0.939,0.478,0.042,0.984,0.282,-0.564,0.258,0.571,-1.256,2.916,-1.306,-0.625,-0.602,-0.783,-0.943,0.853,0.165,0.082,0.878,-0.319,-1.351,-0.063,-0.197,1.396,1.169,0.595,0.38,0.712,-0.953,-0.229,0.214,-0.247,-0.441,-0.402,-0.646,0.724,-1.326,0.315
0.185,0.301,0.774,-0.89,-0.469,-0.091,-1.877,1.223,1.009,-0.357,-0.361,-0.228,1.079,0.939,0.691,0.042,0.418,0.282,-0.536,0.023,0.883,-1.468,1.316,-0.557,0.812,0.307,-1.023,-1.336,0.88,0.165,-0.219,0.977,-0.319,-1.272,-0.063,-0.586,1.396,1.275,0.355,0.413,0.71,-1.359,0.293,0.492,0.155,-0.212,-0.131,-1.24,0.591,-0.581,0.137
0.914,0.485,0.334,-0.393,0.052,0.54,-0.648,0.784,0.967,-1.33,0.372,-1.001,-0.368,-0.106,0.715,0.042,-1.247,-0.936,0.827,-1.122,-0.017,0.02,-1.256,1.117,0.798,-0.857,1.502,1.583,-0.582,-0.897,-2.882,0.126,0.433,0.111,1.394,1.322,-0.483,-0.905,-1.236,0.359,-0.456,1.178,-3.21,0.371,-4.01,0.419,0.16,1.671,-1.742,-0.839,1.537
0.355,0.604,0.86,-1.803,-1.123,-0.168,-1.397,1.366,0.16,-1.162,-0.477,-0.646,1.501,1.319,0.894,0.473,0.69,-0.844,-0.824,1.328,1.04,0.331,-0.055,0.252,0.992,0.758,1.388,-1.286,1.375,0.165,0.412,1.542,0.484,-0.133,1.068,0.242,1.399,1.324,-0.354,0.477,-0.43,-1.351,0.36,0.315,-0.371,0.075,0.048,0.245,0.668,-0.453,0.428
-0.838,-1.41,-1.809,-0.115,2.464,-1.017,1.613,0.313,0.345,-0.159,0.442,-0.193,-3.105,-3.37,-1.885,0.042,0.275,0.499,0.184,-0.843,-1.831,-0.794,0.923,0.38,-0.062,-0.533,0.067,0.092,-3.076,0.165,0.431,-0.895,-0.428,-0.641,1.708,0.356,0.969,-1.971,0.042,-0.396,-0.456,0.306,0.263,-1.892,-0.278,0.419,0.16,0.364,-0.628,1.645,-0.87
0.066,0.016,0.098,-1.604,0.029,-1.364,-0.677,-1.568,0.837,-0.275,-0.036,-0.634,0.763,0.627,0.161,0.904,0.518,-0.865,0.203,-0.05,-0.618,1.168,-0.11,0.624,-0.605,1.89,0.307,-0.156,0.535,0.961,-0.38,1.33,-0.995,0.121,1.068,0.327,1.532,0.446,-0.067,0.319,0.399,-0.223,-0.224,0.331,0.527,-0.613,0.273,0.364,0.814,0.1,-0.183
0.509,0.689,0.368,-0.193,0.205,0.376,-0.312,-0.476,-3.464,0.283,0.599,-0.986,1.025,1.052,0.595,1.335,0.357,-1.861,0.514,2.043,-0.847,-0.143,-0.739,-1.704,0.019,-0.1,2.219,0.136,0.297,0.165,0.261,0.672,0.232,0.362,1.445,0.241,-0.621,-0.894,0.043,0.399,-0.451,0.343,-0.21,0.445,0.218,0.19,0.16,0.327,0.445,-0.794,0.91
0.711,0.455,-0.325,-0.124,1.068,0.421,-0.859,1.287,-0.863,2.758,0.175,-0.196,0.755,1.132,0.781,0.042,-0.516,-0.122,-0.665,1.338,0.804,-3.703,-0.099,0.517,0.502,0.106,1.316,-1.058,0.259,-0.366,-0.106,-0.106,0.414,-1.331,0.872,0.34,-0.026,-0.678,1.411,0.401,2.149,-0.742,-0.088,0.271,-0.097,-0.269,-0.515,0.364,-0.389,-1.008,0.106
-0.638,-0.312,-0.059,0.831,0.515,-0.889,-0.993,-0.679,-0.416,0.346,-0.223,-0.907,-1.403,-1.878,-1.317,-2.114,-1.014,-0.306,0.189,1.305,1.079,-0.679,0.379,-0.755,-1.049,-0.064,-0.29,0.721,-1.66,-1.162,-1.273,0.275,-0.402,1.162,-0.063,-1.55,0.233,-0.669,-0.453,-0.073,1.288,0.834,0.194,-1.006,1.002,-1.76,-0.852,-2.131,-1.14,0.003,-0.735
-0.61,-0.096,0.043,-0.326,0.376,0.538,-1.511,0.011,-0.502,0.89,-0.91,-0.543,0.02,-0.47,0.249,0.042,-0.131,0.738,-0.862,-0.763,1.767,-0.888,0.668,0.554,1.1,0.943,-0.606,-1.069,-0.061,-0.897,-0.658,-0.313,-0.721,0.705,-0.063,-0.639,1.063,0.544,0.15,0.044,0.73,-1.267,0.477,-0.025,1.628,-0.613,-0.29,-0.289,-0.337,0.766,-0.618
0.965,0.571,1.6,0.898,-0.672,0.95,0.815,0.409,-1.001,0.065,0.429,-1.098,0.023,0.108,0.934,-1.252,0.586,-1.169,0.377,1.031,0.61,-0.392,0.786,0.166,0.661,0.076,0.486,-0.547,0.51,0.165,0.063,-1.333,-0.33,-0.562,0.51,0.53,0.632,-0.207,0.348,0.448,0.652,0.128,-0.735,0.381,-0.596,-0.04,0.216,0.364,0.305,-1.175,1.178
0.476,0.008,-0.452,-1.451,-0.875,-0.64,0.197,-1.58,1.03,-1.431,1.683,-0.326,-1.295,-1.21,-0.668,-1.252,-2.486,0.097,1.14,-1.277,-0.104,-0.621,-0.392,0.151,-0.387,0.461,-1.356,1.526,-1.675,-0.897,-0.574,-2.446,-0.292,0.536,-0.817,0.365,0.093,-0.398,-0.948,0.474,-0.445,1.888,-0.113,-0.39,-0.084,-0.843,0.16,0.364,-2.608,0.181,-0.689
1.349,0.935,1.028,-0.135,-0.159,0.357,-0.43,0.038,-0.499,-1.192,0.759,-0.699,0.352,0.321,1.27,0.042,-0.121,-0.061,0.683,1.207,-2.057,0.264,0.802,0.36,-0.537,1.195,1.797,1.093,0.907,0.961,-0.575,-0.723,0.092,-1.293,1.068,0.333,-1.191,-0.56,0.303,0.602,-0.448,0.95,-0.74,0.411,-0.673,-1.473,-0.459,0.364,-0.031,-0.875,0.712
0.754,0.192,1.481,-0.422,-1.122,1.697,-0.301,0.202,0.882,0.436,-0.153,-0.449,0.809,0.882,0.746,-0.39,0.36,-0.194,-0.284,1.738,-0.631,-0.498,2.238,1.115,1.088,-2.611,1.806,0.134,1.095,-0.366,0.072,-1.17,0.473,-1.741,1.626,1.325,-0.325,-0.04,0.724,0.425,-0.456,-0.019,0.201,0.429,0.279,-0.04,0.16,1.671,0.216,-1.537,0.978
-0.884,-0.742,-0.059,-1.218,-1.198,1.354,1.678,0.825,0.255,0.328,-0.493,0.344,0.493,0.439,-0.473,0.042,0.76,0.991,-0.602,-0.786,-0.323,-0.247,-1.208,2.203,0.111,-0.421,-1.784,-0.894,0.391,0.165,-0.209,-0.156,-0.68,0.077,-0.259,0.361,0.826,0.511,1.174,0.024,0.903,-0.942,-0.628,0.099,-0.97,-0.384,-0.29,0.364,0.493,1.105,-1.369
-0.205,-0.718,1.136,0.963,-1.401,0.337,0.972,-1.776,1.183,-0.2,-1.221,0.155,1.124,0.967,-0.295,0.688,0.036,0.59,-1.116,-1.572,-0.831,0.661,0.546,2.27,0.573,0.46,-0.543,-1.342,0.622,0.165,-0.928,1.155,0.54,0.108,-0.817,-0.878,1.401,2.286,-0.114,0.152,-0.442,-1.42,0.483,-0.474,-0.484,-0.558,-0.68,-0.398,-0.428,-1.259,0.669
-0.169,-0.79,-1.049,-0.312,-0.011,0.74,0.184,1.011,-0.314,0.057,-0.07,-0.158,0.73,1.077,-0.528,0.042,0.283,-0.169,-0.18,1.325,0.459,-0.201,-1.158,0.283,0.28,-1.86,1.175,0.345,0.3,-0.366,-0.021,0.672,-1.212,-1.415,0.51,0.353,-1.19,-1.208,0.218,-0.02,-0.453,0.252,0.038,-0.152,-0.387,-0.155,0.16,0.364,0.684,0.465,-0.567
0.758,0.747,0.675,-0.38,0.889,-1.319,-0.78,0.095,-0.569,0.293,0.128,-0.143,1.133,1.029,0.95,0.904,1.021,0.139,0.323,-1.358,1.513,1.254,-0.585,0.772,1.326,0.254,-0.652,-0.155,0.984,0.43,0.34,1.101,0.493,-0.1,-0.259,0.254,-0.93,0.569,0.097,0.484,-0.434,-0.27,-0.015,0.837,0.309,0.304,0.048,0.245,0.934,-0.192,0.451
0.442,0.561,0.606,0.58,-0.352,1.887,-0.245,0.076,-0.5,-0.647,0.683,-0.758,0.315,0.278,0.273,-0.39,1.878,-0.405,0.587,-0.469,-0.946,0.452,1.097,-1.037,-0.738,1.288,-0.926,0.58,0.596,0.165,0.057,-1.094,-1.069,1.414,0.133,-0.641,-1.317,-1.164,-0.532,0.345,0.494,0.651,0.005,0.684,-0.761,-0.135,-0.362,-0.943,1.588,0.302,0.956
0.085,0.073,1.313,-1.867,-0.183,-1.488,-0.167,-0.205,1.756,-0.089,-0.405,-0.928,-0.269,-1.099,0.165,-2.114,-1.127,-0.151,0.005,1.538,-0.132,0.123,1.63,-1.195,1.766,-0.112,-0.21,-0.239,-0.57,-1.693,0.077,-0.572,-1.049,1.271,-0.226,-0.645,0.799,0.545,0.449,0.264,1.286,-0.206,-0.25,-0.103,-0.106,1.451,1.454,-0.616,-1.266,-2.314,0.116
0.892,0.935,0.777,0.008,0.397,-1.059,0.414,-0.269,0.485,-1.356,0.682,-0.485,-0.2,-1.357,0.863,-2.114,0.611,0.202,0.84,0.685,1.025,0.378,0.815,-2.071,0.538,-0.114,-0.389,0.256,0.297,-0.853,-0.56,-0.985,0.646,0.046,-0.915,0.347,0.375,0.105,-1.882,0.387,-2.434,0.592,-0.926,0.839,-1.097,0.104,1.088,0.126,0.243,-0.267,0.922
-0.99,0.453,-1.088,-1.529,0.255,-1.362,-1.629,0.513,-0.321,-0.511,-1.47,0.078,-1.085,-1.564,-0.538,0.042,-0.733,0.598,-1.14,0.817,2.041,-0.414,0.62,-1.721,1.307,-1.396,1.192,-1.183,-1.465,0.43,-0.393,0.095,-0.835,-1.223,1.445,-0.195,1.401,-0.271,0.657,0.108,1.291,-0.77,0.002,-0.838,1.059,1.164,0.554,-0.349,-0.443,-0.346,-0.911
0.575,0.348,1.168,0.278,0.916,0.884,0.662,0.008,-1.139,0.736,0.283,-1.334,0.612,0.561,0.542,-0.821,0.592,-1.58,0.816,0.982,1.001,-1.52,-0.85,1.163,-1.575,0.933,0.117,0.513,0.81,-0.366,0.53,-0.848,-0.238,-0.257,-0.063,0.351,-1.317,-0.255,-1.171,0.366,0.415,0.517,-0.245,0.684,0.177,0.534,0.273,0.364,0.582,-0.654,0.518
0.412,0.417,-0.815,-0.404,-0.213,-0.216,0.104,-0.654,-0.111,1.248,-0.102,-0.631,0.954,1.18,0.121,0.473,-0.252,-1.121,0.049,2.247,0.953,0.426,0.363,-2.342,-1.066,-2.02,1.831,-0.515,-0.163,0.165,0.442,1.122,-1.059,1.656,0.872,0.341,0.969,-1.529,-0.165,0.215,-0.458,-0.347,0.269,0.204,0.293,0.419,0.16,0.364,-0.166,-0.64,-0.144
0.183,0.17,0.161,-1.396,-0.339,0.791,-0.461,-1.639,-1.183,0.752,1.139,-0.504,0.547,0.555,0.304,0.473,0.65,0.126,0.763,-0.812,0.045,0.374,0.69,0.492,-2.154,-0.288,-0.761,0.65,0.188,-0.366,0.243,-1.384,-0.313,0.718,-0.063,0.702,-1.317,-0.216,0.257,0.259,-0.457,0.654,-0.014,0.526,0.387,0.19,-0.065,0.839,0.278,0.828,0.536
0.827,0.515,0.452,-0.078,-1.046,-0.688,-0.486,-0.626,1.073,0.103,0.586,-1.242,-2.69,-2.138,0.204,-0.821,-0.226,-0.967,0.93,-0.168,0.286,0.828,-0.573,1.459,-0.897,-0.156,-0.679,1.037,-1.915,0.165,0.566,0.581,0.598,-0.359,0.314,0.343,-1.315,-0.576,-2.142,0.233,-0.453,1.457,0.202,-0.413,-0.358,-0.155,-0.121,0.364,-0.709,-0.793,0.8
0.476,0.27,-0.043,-2.289,-0.902,0.554,0.027,-1.21,-3.155,2.379,0.418,-1.185,0.772,0.684,0.166,0.904,1.281,-2.301,0.699,1.23,-1.8,-0.495,0.528,-1.04,-0.313,0.822,1.711,0.602,0.216,-0.897,1.449,1.076,-1.371,-0.281,1.068,0.703,-0.894,-0.537,-0.178,0.203,-0.452,0.429,-0.236,0.562,-0.193,1.623,1.322,0.839,0.49,0.203,0.478
-1.44,-2.073,-1.783,-2.372,-1.7,0.673,-1.671,0.804,1.949,-0.949,0.124,-0.048,-1.849,-2.03,-2.512,-0.39,-2.421,0.023,0.047,-1.288,-1.561,1.181,0.467,-0.165,0.763,0.464,-0.681,0.017,-2.624,-1.428,0.337,0.466,-0.039,0.914,-0.063,-3.455,1.656,-0.499,0.615,-0.464,-0.443,0.585,1.838,-2.376,-0.482,-1.301,-1.527,-4.507,-2.562,1.893,-2.135
0.649,0.654,0.077,-0.413,0.982,0.331,-0.104,-1.597,-0.609,-1.439,0.133,0.008,0.222,0.086,0.555,0.042,-0.199,0.349,-0.029,0.279,1.068,-0.344,-1.972,0.34,0.708,0.318,0.291,-0.081,0.019,0.696,0.441,0.61,-0.119,-0.315,0.314,-0.216,0.625,0.204,0.285,0.37,-0.455,0.066,0.309,0.15,-0.255,0.419,0.273,-0.349,-0.387,-0.661,0.45
0.293,0.162,0.668,-0.451,-0.974,-1.438,-0.548,-0.266,0.616,-0.152,-0.105,-0.065,0.33,0.421,0.309,-0.39,-0.507,0.299,0.171,0.988,-0.687,-0.39,-0.632,0.491,0.569,1.612,0.207,-0.199,0.848,-0.366,0.985,-0.552,0.146,-1.602,0.661,0.331,-0.049,0.189,0.239,0.389,0.661,-0.397,0.031,0.659,0.696,1.107,0.273,0.364,-0.552,-0.055,0.316
0.173,0.074,0.843,-0.017,0.087,0.969,1.78,-1.362,-1.446,0.658,-0.733,-0.105,0.348,-0.008,0.384,0.904,0.074,0.281,-0.271,-0.742,0.666,0.279,-0.324,-0.827,1.011,0.708,-0.156,-0.9,0.271,0.961,-0.388,1.28,1.275,0.903,0.133,0.367,-0.233,0.552,-0.776,0.312,-0.439,-0.781,1.002,0.456,0.999,-0.438,-0.754,0.547,0.218,-1.319,0.224
0.578,0.329,0.424,-0.269,-0.431,-0.9,0.342,-0.009,-0.15,0.799,-0.415,-0.178,0.776,0.719,0.605,0.904,0.795,-0.272,-0.615,0.182,-0.064,1.153,-2.266,0.359,-0.073,-0.094,-0.664,-1.069,0.453,0.165,0.153,0.631,-0.585,-1.331,-0.259,-0.201,0.837,0.727,0.796,0.454,-0.443,-1.056,-0.031,0.56,0.429,0.075,-0.177,-0.349,0.808,-0.738,0.397
1.708,1.461,0.834,0.364,-0.101,0.24,-0.387,-1.402,0.618,0.614,1.445,-0.581,0.396,0.575,1.745,0.042,-0.325,-0.093,1.142,-0.185,-0.732,-0.077,-1.012,-1.064,-1.288,-1.6,-0.324,1.176,0.347,-0.366,0.063,-0.717,0.074,0.381,0.133,0.705,-1.322,-0.281,-1.527,0.807,-0.46,1.424,0.073,1.072,-0.615,-0.04,0.048,0.839,-0.403,-0.641,1.476
0.059,-0.112,1.562,0.683,0.082,0.7,-1.451,-0.762,1.684,0.184,-0.826,-0.867,0.821,0.774,0.23,-0.39,0.101,-0.992,-0.372,1.609,0.79,-1.406,-0.581,-0.636,-1.381,-0.268,1.396,-0.381,1.133,0.165,0.641,-0.562,-0.455,-1.656,0.51,0.692,0.235,-0.065,-0.219,0.255,0.338,-0.461,0.339,0.122,0.795,0.534,-0.29,0.839,-0.166,-2.064,0.28
0.532,0.341,-0.696,-0.246,-0.5,0.207,-0.231,-1.414,-0.697,-1.048,-0.418,-0.374,-0.27,-0.489,0.61,0.042,1.109,-0.084,-0.623,0.73,-0.699,-2.388,-0.106,-0.565,-0.304,-0.593,1.407,-0.499,-0.313,0.209,-0.211,-0.018,1.236,-1.036,0.51,-0.191,1.112,-0.222,0.789,0.275,0.742,-0.57,0.087,-0.083,0.642,-0.327,-0.29,-0.349,0.703,-0.051,0.898
0.681,0.612,1.061,0.157,-0.922,-0.493,0.068,-0.032,1.286,0.364,0.378,-1.85,0.759,0.631,0.575,0.042,-0.079,-2.095,0.619,0.202,0.597,-0.198,2.064,-0.287,0.918,1.226,-0.638,0.68,0.504,-0.366,0.075,-0.13,-0.358,0.126,-0.096,0.353,-1.312,-0.429,0.853,0.4,0.745,0.632,0.395,0.653,-0.096,-0.083,0.273,0.364,-0.038,-0.67,1.14
0.263,0.325,0.759,-1.615,1.158,0.863,-0.863,1.865,-0.05,-1.474,-0.22,-0.702,0.947,1.05,0.382,0.473,-0.284,-0.821,-0.276,0.791,-0.381,1.612,0.274,0.075,-0.216,0.527,1.636,-0.44,0.435,-0.366,0.704,1.401,0.034,0.137,1.445,0.701,-0.753,0.638,0.167,0.355,-0.461,-0.383,1.217,0.351,1.396,0.763,0.498,0.839,-0.85,-0.676,0.433
0.336,0.095,1.209,-0.085,-1.113,0.061,-0.43,-1.528,0.292,0.012,-0.66,-0.477,1.125,0.841,0.32,0.042,1.708,-0.256,-0.329,-0.45,0.392,-0.052,0.911,-1.217,1.473,-0.64,-0.59,-0.207,1.005,0.696,0.439,1.282,0.338,-0.542,0.314,-0.647,1.545,0.406,0.109,0.343,0.403,-0.049,0.059,0.112,0.072,0.419,0.16,-0.943,2.047,-1.446,0.439
0.816,0.504,1.853,1.056,-0.227,1.175,1.929,1.199,-0.868,-0.719,-0.046,-0.717,0.925,0.656,1.197,-0.39,0.519,-0.186,-0.8,0.359,1.216,-1.435,-0.359,0.125,-1.583,2.543,-0.765,-1.413,0.781,0.165,-1.514,-2.172,-0.36,1.064,0.133,0.289,1.219,-0.055,1.435,0.436,1.281,-1.095,-0.214,0.633,-0.706,-0.212,-2.315,0.364,0.634,-2.209,1.031
1.191,1.017,-0.377,-0.225,0.694,0.509,0.384,1.44,-0.336,0.475,1.085,-0.529,-0.88,-0.805,0.832,0.042,-0.484,0.42,0.947,0.888,0.719,-1.259,1.935,-0.498,0.666,-0.184,1.067,1.435,-0.284,0.165,0.438,-1.39,-0.523,-0.168,0.51,1.33,-1.322,-0.487,0.75,0.657,1.29,1.402,-0.355,0.649,0.717,0.419,1.397,1.671,-0.247,-0.108,0.575
0.629,0.116,2.171,-0.239,-0.943,-0.354,0.39,0.345,-0.051,0.629,-0.538,-0.205,0.985,0.89,0.924,0.042,-0.851,-0.004,-0.859,0.891,0.98,0.106,-0.128,1.21,0.361,-0.274,-0.171,-1.377,1.138,0.696,0.069,0.625,-0.286,-0.146,0.133,-0.259,1.227,0.841,0.361,0.36,2.097,-1.158,0.371,0.446,-0.31,-0.508,-0.402,-0.349,-0.384,-2.174,0.385
0.539,0.597,0.385,0.464,1.418,0.505,0.563,1.667,-0.667,0.803,0.503,-0.289,0.605,0.441,0.468,0.042,0.809,-0.294,0.07,-0.897,1.645,0.683,-0.524,-1.789,1.2,0.325,-1.453,-0.131,0.213,-1.162,0.353,0.272,-0.005,0.053,-0.817,0.337,-0.483,0.05,0.865,0.35,-0.446,-0.081,-0.296,0.385,0.018,0.304,0.273,0.364,0.803,-0.362,0.477
-1.403,-2.083,-1.099,-1.018,0.021,0.503,1.107,-0.425,0.225,0.267,-0.443,-0.321,-0.798,-0.295,-1.96,0.042,-2.39,-0.158,-1.055,0.657,0.127,0.508,0.389,1.74,1.53,-0.504,1.523,0.914,-1.578,-0.366,2.44,-0.768,-2.186,-1.196,1.068,1.342,-0.483,-1.621,0.039,-0.292,-0.454,0.78,0.189,-2.005,-0.337,1.68,1.294,1.671,-1.949,1.066,-1.8
0.78,0.533,2.125,1.037,1.444,0.17,0.793,0.598,0.726,-2.559,0.191,-1.625,1.224,1.126,0.944,0.473,0.194,-2.422,-0.163,1.137,-0.172,-0.076,0.921,1.067,0.862,-1.025,-0.271,-0.181,1.454,-0.366,0.526,-1.446,0.272,-0.706,0.133,0.353,0.241,0.296,0.474,0.36,0.732,-0.299,2.121,0.729,-0.279,0.534,0.273,0.364,-0.003,-2.219,1.058
-3.419,-4.468,0.156,-1.838,-0.394,1.581,0.115,1.407,-0.955,0.693,-2.021,0.068,-1.003,0.063,-3.29,-4.269,-2.58,0.306,-1.938,-0.409,0.668,-0.618,0.767,-0.93,0.85,0.247,1.591,-1.134,-0.408,0.43,-1.425,0.396,-1.469,1.438,1.822,0.33,1.402,6.131,0.971,-0.375,-0.462,-0.011,-1.283,-2.423,-0.997,-4.627,-2.315,1.398,-2.254,0.367,-2.523
0.123,0.028,0.78,0.395,0.663,-1.49,1.174,-0.854,-0.836,-0.117,-0.21,-0.387,-0.198,-0.656,0.259,-2.437,0.511,0.912,-0.148,-0.059,-1.41,-1.988,0.336,-0.371,-2.648,-0.739,-0.627,0.583,0.842,0.43,-2.501,0.149,-0.006,0.233,0.51,-3.666,0.782,0.191,-1.033,0.262,0.513,-0.106,0.17,0.103,-0.111,-2.334,-2.258,-3.556,0.044,0.501,0.495
1.009,0.94,0.773,0.305,-1.395,1.357,1.173,0.424,0.264,2.313,0.679,-0.973,-0.51,-0.587,0.472,-1.252,0.578,-0.149,1.649,-0.069,0.418,-0.381,1.46,0.077,0.4,1.363,-1.114,1.346,0.481,0.43,0.533,0.16,0.236,0.033,0.314,-0.314,-1.314,-0.514,-1.601,0.359,0.508,1.713,-0.322,0.777,-0.313,-0.785,-0.29,-1.893,0.463,-0.313,1.271
0.761,0.52,0.765,0.231,-1.12,-0.61,0.185,-1.269,-2.666,0.965,0.44,-0.884,-0.8,-1.159,0.54,-0.821,-0.164,-0.251,0.641,0.276,-1.613,0.814,-0.678,0.379,-0.577,0.878,-0.596,0.216,0.208,0.43,0.252,0.327,-0.29,-0.299,0.314,0.146,0.795,-0.255,-1.335,0.429,0.523,0.669,0.584,0.229,0.536,0.132,-0.121,-0.052,-0.296,-0.99,0.835
0.658,0.763,0.178,0.983,-0.653,-0.509,-0.827,1.475,0.64,0.476,0.872,-0.041,-0.151,0.296,0.477,-1.252,0.18,0.392,1.221,0.117,0.121,0.165,-0.785,1.784,0.439,-1.768,0.925,2.376,1.146,0.43,-0.837,0.759,-0.691,0.524,0.872,-0.211,-1.317,-0.811,-1.856,0.345,1.285,2.354,1.193,1.091,0.78,-1.187,-1.415,-0.349,0.406,1.055,0.365
